EMERYTURY I RENTY REALIZOWANE PRZEZ KRUS,przciÍtna miesiÍczna liczba úwiadczeniobiorcÛw (úwiadczenia zabiegowe robotnicze), NaN,,2025-Q1 , emerytury;;;
EMERYTURY I RENTY REALIZOWANE PRZEZ KRUS,przciÍtna miesiÍczna liczba úwiadczeniobiorcÛw (úwiadczenia zabiegowe robotnicze), 11186,,2024-Q1 , renty z tytu≥u niezdolnoúci do pracy;;;
EMERYTURY I RENTY REALIZOWANE PRZEZ KRUS,przciÍtna miesiÍczna liczba úwiadczeniobiorcÛw (úwiadczenia zabiegowe robotnicze), 11044,,2024-Q4 , renty z tytu≥u niezdolnoúci do pracy;;;
EMERYTURY I RENTY REALIZOWANE PRZEZ KRUS,przciÍtna miesiÍczna liczba úwiadczeniobiorcÛw (úwiadczenia zabiegowe robotnicze), 10946,,2025-Q1 , renty z tytu≥u niezdolnoúci do pracy;;;
EMERYTURY I RENTY REALIZOWANE PRZEZ KRUS,przciÍtna miesiÍczna liczba úwiadczeniobiorcÛw (úwiadczenia zabiegowe robotnicze), NaN,,2024-Q1 , renty rodzinne;;;
EMERYTURY I RENTY REALIZOWANE PRZEZ KRUS,przciÍtna miesiÍczna liczba úwiadczeniobiorcÛw (úwiadczenia zabiegowe robotnicze), NaN,,2024-Q4 , renty rodzinne;;;
EMERYTURY I RENTY REALIZOWANE PRZEZ KRUS,przciÍtna miesiÍczna liczba úwiadczeniobiorcÛw (úwiadczenia zabiegowe robotnicze), NaN,,2025-Q1 , renty rodzinne;;;
EMERYTURY I RENTY REALIZOWANE PRZEZ KRUS,przciÍtna miesiÍczna liczba úwiadczeniobiorcÛw (úwiadczenia zabiegowe robotnicze), NaN,,2024-Q1, åWIADCZENIA PIENI ØNE DLA CYWILNYCH NIEWIDOMYCH OFIAR DZIA£A— WOJENNYCH;;;
EMERYTURY I RENTY REALIZOWANE PRZEZ KRUS,przciÍtna miesiÍczna liczba úwiadczeniobiorcÛw (úwiadczenia zabiegowe robotnicze), NaN,,2024-Q4, åWIADCZENIA PIENI ØNE DLA CYWILNYCH NIEWIDOMYCH OFIAR DZIA£A— WOJENNYCH;;;
EMERYTURY I RENTY REALIZOWANE PRZEZ KRUS,przciÍtna miesiÍczna liczba úwiadczeniobiorcÛw (úwiadczenia zabiegowe robotnicze), NaN,,2025-Q1, åWIADCZENIA PIENI ØNE DLA CYWILNYCH NIEWIDOMYCH OFIAR DZIA£A— WOJENNYCH;;;
EMERYTURY I RENTY REALIZOWANE PRZEZ KRUS,kwota wp≥aty w z≥,5794717709.21,,2024-Q1 , ogÛ≥em;;;
EMERYTURY I RENTY REALIZOWANE PRZEZ KRUS,kwota wp≥aty w z≥,6206531231.02,,2024-Q4, ogÛ≥em;;;
EMERYTURY I RENTY REALIZOWANE PRZEZ KRUS,kwota wp≥aty w z≥,6297893918.59,,2025-Q1 , ogÛ≥em;;;
EMERYTURY I RENTY REALIZOWANE PRZEZ KRUS,kwota wp≥aty w z≥,4574121843.95,,2024-Q1 , emerytury;;;
EMERYTURY I RENTY REALIZOWANE PRZEZ KRUS,kwota wp≥aty w z≥,4908479764.66,,2024-Q4 , emerytury;;;
EMERYTURY I RENTY REALIZOWANE PRZEZ KRUS,kwota wp≥aty w z≥,4982650839.4,,2025-Q1 , emerytury;;;
EMERYTURY I RENTY REALIZOWANE PRZEZ KRUS,kwota wp≥aty w z≥,920282653.12,,2024-Q1 , renty z tytu≥u niezdolnoúci do pracy;;;
EMERYTURY I RENTY REALIZOWANE PRZEZ KRUS,kwota wp≥aty w z≥,976936866.75,,2024-Q4 , renty z tytu≥u niezdolnoúci do pracy;;;
EMERYTURY I RENTY REALIZOWANE PRZEZ KRUS,kwota wp≥aty w z≥,989603617.72,,2025-Q1 , renty z tytu≥u niezdolnoúci do pracy;;;
EMERYTURY I RENTY REALIZOWANE PRZEZ KRUS,kwota wp≥aty w z≥,300293926.09,,2024-Q1 , renty rodzinne;;;
EMERYTURY I RENTY REALIZOWANE PRZEZ KRUS,kwota wp≥aty w z≥,321093815.76,,2024-Q4 , renty rodzinne;;;
EMERYTURY I RENTY REALIZOWANE PRZEZ KRUS,kwota wp≥aty w z≥,325618296.62,,2025-Q1 , renty rodzinne;;;
EMERYTURY I RENTY REALIZOWANE PRZEZ KRUS,kwota wp≥aty w z≥,19286.05,,2024-Q1, åWIADCZENIA PIENI ØNE DLA CYWILNYCH NIEWIDOMYCH OFIAR DZIA£A— WOJENNYCH;;;
EMERYTURY I RENTY REALIZOWANE PRZEZ KRUS,kwota wp≥aty w z≥,20783.85,,2024-Q4, åWIADCZENIA PIENI ØNE DLA CYWILNYCH NIEWIDOMYCH OFIAR DZIA£A— WOJENNYCH;;;
EMERYTURY I RENTY REALIZOWANE PRZEZ KRUS,kwota wp≥aty w z≥,21164.85,,2025-Q1, åWIADCZENIA PIENI ØNE DLA CYWILNYCH NIEWIDOMYCH OFIAR DZIA£A— WOJENNYCH;;;
EMERYTURY I RENTY REALIZOWANE PRZEZ KRUS,kwota wp≥aty w z≥  (úwiadczenia zabiegowe robotnicze), 180316891.07,,2024-Q1 , ogÛ≥em;;;
EMERYTURY I RENTY REALIZOWANE PRZEZ KRUS,kwota wp≥aty w z≥  (úwiadczenia zabiegowe robotnicze), 172566874.24,,2024-Q4, ogÛ≥em;;;
EMERYTURY I RENTY REALIZOWANE PRZEZ KRUS,kwota wp≥aty w z≥  (úwiadczenia zabiegowe robotnicze), 167659453.42,,2025-Q1 , ogÛ≥em;;;
EMERYTURY I RENTY REALIZOWANE PRZEZ KRUS,kwota wp≥aty w z≥  (úwiadczenia zabiegowe robotnicze), NaN,,2024-Q1 , emerytury;;;
EMERYTURY I RENTY REALIZOWANE PRZEZ KRUS,kwota wp≥aty w z≥  (úwiadczenia zabiegowe robotnicze), NaN,,2024-Q4 , emerytury;;;
EMERYTURY I RENTY REALIZOWANE PRZEZ KRUS,kwota wp≥aty w z≥  (úwiadczenia zabiegowe robotnicze), NaN,,2025-Q1 , emerytury;;;
EMERYTURY I RENTY REALIZOWANE PRZEZ KRUS,kwota wp≥aty w z≥  (úwiadczenia zabiegowe robotnicze), 69405551.42,,2024-Q1 , renty z tytu≥u niezdolnoúci do pracy;;;
EMERYTURY I RENTY REALIZOWANE PRZEZ KRUS,kwota wp≥aty w z≥  (úwiadczenia zabiegowe robotnicze), 74152292.35,,2024-Q4 , renty z tytu≥u niezdolnoúci do pracy;;;
EMERYTURY I RENTY REALIZOWANE PRZEZ KRUS,kwota wp≥aty w z≥  (úwiadczenia zabiegowe robotnicze), 74733521.98,,2025-Q1 , renty z tytu≥u niezdolnoúci do pracy;;;
EMERYTURY I RENTY REALIZOWANE PRZEZ KRUS,kwota wp≥aty w z≥  (úwiadczenia zabiegowe robotnicze), NaN,,2024-Q1 , renty rodzinne;;;
EMERYTURY I RENTY REALIZOWANE PRZEZ KRUS,kwota wp≥aty w z≥  (úwiadczenia zabiegowe robotnicze), NaN,,2024-Q4 , renty rodzinne;;;
EMERYTURY I RENTY REALIZOWANE PRZEZ KRUS,kwota wp≥aty w z≥  (úwiadczenia zabiegowe robotnicze), NaN,,2025-Q1 , renty rodzinne;;;
EMERYTURY I RENTY REALIZOWANE PRZEZ KRUS,kwota wp≥aty w z≥  (úwiadczenia zabiegowe robotnicze), NaN,,2024-Q1, åWIADCZENIA PIENI ØNE DLA CYWILNYCH NIEWIDOMYCH OFIAR DZIA£A— WOJENNYCH;;;
EMERYTURY I RENTY REALIZOWANE PRZEZ KRUS,kwota wp≥aty w z≥  (úwiadczenia zabiegowe robotnicze), NaN,,2024-Q4, åWIADCZENIA PIENI ØNE DLA CYWILNYCH NIEWIDOMYCH OFIAR DZIA£A— WOJENNYCH;;;
EMERYTURY I RENTY REALIZOWANE PRZEZ KRUS,kwota wp≥aty w z≥  (úwiadczenia zabiegowe robotnicze), NaN,,2025-Q1, åWIADCZENIA PIENI ØNE DLA CYWILNYCH NIEWIDOMYCH OFIAR DZIA£A— WOJENNYCH;;;
EMERYTURY I RENTY REALIZOWANE PRZEZ KRUS,przeciÍtne úwiadczenie w zl, 1991.50,,2024-Q1 , ogÛ≥em;;;
EMERYTURY I RENTY REALIZOWANE PRZEZ KRUS,przeciÍtne úwiadczenie w zl, 2140.72,,2024-Q4, ogÛ≥em;;;
EMERYTURY I RENTY REALIZOWANE PRZEZ KRUS,przeciÍtne úwiadczenie w zl, 2178.42,,2025-Q1 , ogÛ≥em;;;
EMERYTURY I RENTY REALIZOWANE PRZEZ KRUS,przeciÍtne úwiadczenie w zl, 1999.37,,2024-Q1 , emerytury;;;
EMERYTURY I RENTY REALIZOWANE PRZEZ KRUS,przeciÍtne úwiadczenie w zl, 2146.14,,2024-Q4 , emerytury;;;
EMERYTURY I RENTY REALIZOWANE PRZEZ KRUS,przeciÍtne úwiadczenie w zl, 2184.49,,2025-Q1 , emerytury;;;
EMERYTURY I RENTY REALIZOWANE PRZEZ KRUS,przeciÍtne úwiadczenie w zl, 1836.57,,2024-Q1 , renty z tytu≥u niezdolnoúci do pracy;;;
EMERYTURY I RENTY REALIZOWANE PRZEZ KRUS,przeciÍtne úwiadczenie w zl, 1974.75,,2024-Q4 , renty z tytu≥u niezdolnoúci do pracy;;;
EMERYTURY I RENTY REALIZOWANE PRZEZ KRUS,przeciÍtne úwiadczenie w zl, 2013.48,,2025-Q1 , renty z tytu≥u niezdolnoúci do pracy;;;
EMERYTURY I RENTY REALIZOWANE PRZEZ KRUS,przeciÍtne úwiadczenie w zl, 2484.83,,2024-Q1 , renty rodzinne;;;
EMERYTURY I RENTY REALIZOWANE PRZEZ KRUS,przeciÍtne úwiadczenie w zl, 2734.27,,2024-Q4 , renty rodzinne;;;
EMERYTURY I RENTY REALIZOWANE PRZEZ KRUS,przeciÍtne úwiadczenie w zl, 2744.96,,2025-Q1 , renty rodzinne;;;
EMERYTURY I RENTY REALIZOWANE PRZEZ KRUS,przeciÍtne úwiadczenie w zl, NaN,,2024-Q1, åWIADCZENIA PIENI ØNE DLA CYWILNYCH NIEWIDOMYCH OFIAR DZIA£A— WOJENNYCH;;;
EMERYTURY I RENTY REALIZOWANE PRZEZ KRUS,przeciÍtne úwiadczenie w zl, NaN,,2024-Q4, åWIADCZENIA PIENI ØNE DLA CYWILNYCH NIEWIDOMYCH OFIAR DZIA£A— WOJENNYCH;;;
EMERYTURY I RENTY REALIZOWANE PRZEZ KRUS,przeciÍtne úwiadczenie w zl, NaN,,2025-Q1, åWIADCZENIA PIENI ØNE DLA CYWILNYCH NIEWIDOMYCH OFIAR DZIA£A— WOJENNYCH;;;
Liczba p≥atnikÛw sk≥adek w KRUS,Liczba p≥atnikÛw sk≥adek (kont czynnych), 878 925,,2020-Q1,;;;
Liczba p≥atnikÛw sk≥adek w KRUS,Liczba p≥atnikÛw sk≥adek (kont czynnych),;876 967,,2020-Q2,;;
Liczba p≥atnikÛw sk≥adek w KRUS,Liczba p≥atnikÛw sk≥adek (kont czynnych),;869 876,,2020-Q3,;;
Liczba p≥atnikÛw sk≥adek w KRUS,Liczba p≥atnikÛw sk≥adek (kont czynnych),;864 250,,2020-Q4,;;
Liczba p≥atnikÛw sk≥adek w KRUS,Liczba p≥atnikÛw sk≥adek (kont czynnych),;858 336;,,2021-Q1,;
Liczba p≥atnikÛw sk≥adek w KRUS,Liczba p≥atnikÛw sk≥adek (kont czynnych),851 808;,,30.06.2021;,;
Liczba p≥atnikÛw sk≥adek w KRUS,Liczba p≥atnikÛw sk≥adek (kont czynnych),845 499;,,30.09.2021;,;
Liczba p≥atnikÛw sk≥adek w KRUS,Liczba p≥atnikÛw sk≥adek (kont czynnych),839 040;,,31.12.2021;,;
Liczba p≥atnikÛw sk≥adek w KRUS,Liczba p≥atnikÛw sk≥adek (kont czynnych),;833 015,,2022-Q1,;;
Liczba p≥atnikÛw sk≥adek w KRUS,Liczba p≥atnikÛw sk≥adek (kont czynnych),;825 810,,2022-Q2,;;
Liczba p≥atnikÛw sk≥adek w KRUS,Liczba p≥atnikÛw sk≥adek (kont czynnych),816 401,,30.09.2022;,;;
Liczba p≥atnikÛw sk≥adek w KRUS,Liczba p≥atnikÛw sk≥adek (kont czynnych),809 501;,,31.12.2022;,;
Liczba p≥atnikÛw sk≥adek w KRUS,Liczba p≥atnikÛw sk≥adek (kont czynnych),;802 862,,2023-Q1,;;
Liczba p≥atnikÛw sk≥adek w KRUS,Liczba p≥atnikÛw sk≥adek (kont czynnych),;793 226,,2023-Q2,;;
Liczba p≥atnikÛw sk≥adek w KRUS,Liczba p≥atnikÛw sk≥adek (kont czynnych),;785 421,,2023-Q3,;;
Liczba p≥atnikÛw sk≥adek w KRUS,Liczba p≥atnikÛw sk≥adek (kont czynnych),;776 658,,2023-Q4,;;
Liczba p≥atnikÛw sk≥adek w KRUS,Liczba p≥atnikÛw sk≥adek (kont czynnych),;768 487;,,2024-Q1,;
Liczba p≥atnikÛw sk≥adek w KRUS,Liczba p≥atnikÛw sk≥adek (kont czynnych),;759 274,,2024-Q2,;;
Liczba p≥atnikÛw sk≥adek w KRUS,Liczba p≥atnikÛw sk≥adek (kont czynnych),752 009;,,30.09.2024;,;
Liczba p≥atnikÛw sk≥adek w KRUS,Liczba p≥atnikÛw sk≥adek (kont czynnych),;745 395,,2024-Q4,;;
Liczba p≥atnikÛw sk≥adek w KRUS,Liczba p≥atnikÛw sk≥adek (kont czynnych),738 756,,31.03.2025;,;;
Liczba p≥atnikÛw sk≥adek w KRUS,liczba kont dotyczöca wÛjtÛw burmistrzÛw i prezydentÛw miasta op≥acajöcych sk≥adki za osoby sprawujöce opiekÍ nad osobami niepe≥nosprawnymi,;2 461;,,2020-Q1,;
Liczba p≥atnikÛw sk≥adek w KRUS,liczba kont dotyczöca wÛjtÛw burmistrzÛw i prezydentÛw miasta op≥acajöcych sk≥adki za osoby sprawujöce opiekÍ nad osobami niepe≥nosprawnymi,;2 503,,2020-Q2,;;
Liczba p≥atnikÛw sk≥adek w KRUS,liczba kont dotyczöca wÛjtÛw burmistrzÛw i prezydentÛw miasta op≥acajöcych sk≥adki za osoby sprawujöce opiekÍ nad osobami niepe≥nosprawnymi,;2 541,,2020-Q3,;;
Liczba p≥atnikÛw sk≥adek w KRUS,liczba kont dotyczöca wÛjtÛw burmistrzÛw i prezydentÛw miasta op≥acajöcych sk≥adki za osoby sprawujöce opiekÍ nad osobami niepe≥nosprawnymi,;2 573,,2020-Q4,;;
Liczba p≥atnikÛw sk≥adek w KRUS,liczba kont dotyczöca wÛjtÛw burmistrzÛw i prezydentÛw miasta op≥acajöcych sk≥adki za osoby sprawujöce opiekÍ nad osobami niepe≥nosprawnymi,2 618;,,2021-Q1,;;
Liczba p≥atnikÛw sk≥adek w KRUS,liczba kont dotyczöca wÛjtÛw burmistrzÛw i prezydentÛw miasta op≥acajöcych sk≥adki za osoby sprawujöce opiekÍ nad osobami niepe≥nosprawnymi,2 677,,30.06.2021;,;;
Liczba p≥atnikÛw sk≥adek w KRUS,liczba kont dotyczöca wÛjtÛw burmistrzÛw i prezydentÛw miasta op≥acajöcych sk≥adki za osoby sprawujöce opiekÍ nad osobami niepe≥nosprawnymi,2 720,,30.09.2021;,;;
Liczba p≥atnikÛw sk≥adek w KRUS,liczba kont dotyczöca wÛjtÛw burmistrzÛw i prezydentÛw miasta op≥acajöcych sk≥adki za osoby sprawujöce opiekÍ nad osobami niepe≥nosprawnymi,2 758,,31.12.2021;,;;
Liczba p≥atnikÛw sk≥adek w KRUS,liczba kont dotyczöca wÛjtÛw burmistrzÛw i prezydentÛw miasta op≥acajöcych sk≥adki za osoby sprawujöce opiekÍ nad osobami niepe≥nosprawnymi,;2 814,,2022-Q1,;;
Liczba p≥atnikÛw sk≥adek w KRUS,liczba kont dotyczöca wÛjtÛw burmistrzÛw i prezydentÛw miasta op≥acajöcych sk≥adki za osoby sprawujöce opiekÍ nad osobami niepe≥nosprawnymi,;2 856,,2022-Q2,;;
Liczba p≥atnikÛw sk≥adek w KRUS,liczba kont dotyczöca wÛjtÛw burmistrzÛw i prezydentÛw miasta op≥acajöcych sk≥adki za osoby sprawujöce opiekÍ nad osobami niepe≥nosprawnymi,;2 894,,30.09.2022;,;
Liczba p≥atnikÛw sk≥adek w KRUS,liczba kont dotyczöca wÛjtÛw burmistrzÛw i prezydentÛw miasta op≥acajöcych sk≥adki za osoby sprawujöce opiekÍ nad osobami niepe≥nosprawnymi,2 929,,31.12.2022;,;;
Liczba p≥atnikÛw sk≥adek w KRUS,liczba kont dotyczöca wÛjtÛw burmistrzÛw i prezydentÛw miasta op≥acajöcych sk≥adki za osoby sprawujöce opiekÍ nad osobami niepe≥nosprawnymi,;2 974,,2023-Q1,;;
Liczba p≥atnikÛw sk≥adek w KRUS,liczba kont dotyczöca wÛjtÛw burmistrzÛw i prezydentÛw miasta op≥acajöcych sk≥adki za osoby sprawujöce opiekÍ nad osobami niepe≥nosprawnymi,;3 029,,2023-Q2,;;
Liczba p≥atnikÛw sk≥adek w KRUS,liczba kont dotyczöca wÛjtÛw burmistrzÛw i prezydentÛw miasta op≥acajöcych sk≥adki za osoby sprawujöce opiekÍ nad osobami niepe≥nosprawnymi,;3 077,,2023-Q3,;;
Liczba p≥atnikÛw sk≥adek w KRUS,liczba kont dotyczöca wÛjtÛw burmistrzÛw i prezydentÛw miasta op≥acajöcych sk≥adki za osoby sprawujöce opiekÍ nad osobami niepe≥nosprawnymi,;3 128,,2023-Q4,;;
Liczba p≥atnikÛw sk≥adek w KRUS,liczba kont dotyczöca wÛjtÛw burmistrzÛw i prezydentÛw miasta op≥acajöcych sk≥adki za osoby sprawujöce opiekÍ nad osobami niepe≥nosprawnymi,3 161,,2024-Q1,;;;
Liczba p≥atnikÛw sk≥adek w KRUS,liczba kont dotyczöca wÛjtÛw burmistrzÛw i prezydentÛw miasta op≥acajöcych sk≥adki za osoby sprawujöce opiekÍ nad osobami niepe≥nosprawnymi,;3 172,,2024-Q2,;;
Liczba p≥atnikÛw sk≥adek w KRUS,liczba kont dotyczöca wÛjtÛw burmistrzÛw i prezydentÛw miasta op≥acajöcych sk≥adki za osoby sprawujöce opiekÍ nad osobami niepe≥nosprawnymi,3 179,,30.09.2024;,;;
Liczba p≥atnikÛw sk≥adek w KRUS,liczba kont dotyczöca wÛjtÛw burmistrzÛw i prezydentÛw miasta op≥acajöcych sk≥adki za osoby sprawujöce opiekÍ nad osobami niepe≥nosprawnymi,;3 189;,,2024-Q4,;
Liczba p≥atnikÛw sk≥adek w KRUS,liczba kont dotyczöca wÛjtÛw burmistrzÛw i prezydentÛw miasta op≥acajöcych sk≥adki za osoby sprawujöce opiekÍ nad osobami niepe≥nosprawnymi,;3 195;,,31.03.2025;,
Liczba p≥atnikÛw sk≥adek w KRUS,liczba p≥atnikÛw op≥acajöcych sk≥adki z tytu≥u prowadzenia samoistnego dzia≥u specjalnego produkcji rolnej,2 661;,,2020-Q1,;;
Liczba p≥atnikÛw sk≥adek w KRUS,liczba p≥atnikÛw op≥acajöcych sk≥adki z tytu≥u prowadzenia samoistnego dzia≥u specjalnego produkcji rolnej,;2 632,,2020-Q2,;;
Liczba p≥atnikÛw sk≥adek w KRUS,liczba p≥atnikÛw op≥acajöcych sk≥adki z tytu≥u prowadzenia samoistnego dzia≥u specjalnego produkcji rolnej,;2 606,,2020-Q3,;;
Liczba p≥atnikÛw sk≥adek w KRUS,liczba p≥atnikÛw op≥acajöcych sk≥adki z tytu≥u prowadzenia samoistnego dzia≥u specjalnego produkcji rolnej,;2 576,,2020-Q4,;;
Liczba p≥atnikÛw sk≥adek w KRUS,liczba p≥atnikÛw op≥acajöcych sk≥adki z tytu≥u prowadzenia samoistnego dzia≥u specjalnego produkcji rolnej,2 516,,2021-Q1,;;;
Liczba p≥atnikÛw sk≥adek w KRUS,liczba p≥atnikÛw op≥acajöcych sk≥adki z tytu≥u prowadzenia samoistnego dzia≥u specjalnego produkcji rolnej,;2 481,,2021-Q2;,;
Liczba p≥atnikÛw sk≥adek w KRUS,liczba p≥atnikÛw op≥acajöcych sk≥adki z tytu≥u prowadzenia samoistnego dzia≥u specjalnego produkcji rolnej,;2 458;8,,2021-Q3;,
Liczba p≥atnikÛw sk≥adek w KRUS,liczba p≥atnikÛw op≥acajöcych sk≥adki z tytu≥u prowadzenia samoistnego dzia≥u specjalnego produkcji rolnej,;2 430,,2021-Q4;,;
Liczba p≥atnikÛw sk≥adek w KRUS,liczba p≥atnikÛw op≥acajöcych sk≥adki z tytu≥u prowadzenia samoistnego dzia≥u specjalnego produkcji rolnej,;2 383;,,2022-Q1,;
Liczba p≥atnikÛw sk≥adek w KRUS,liczba p≥atnikÛw op≥acajöcych sk≥adki z tytu≥u prowadzenia samoistnego dzia≥u specjalnego produkcji rolnej,;2 366,,2022-Q2,;;
Liczba p≥atnikÛw sk≥adek w KRUS,liczba p≥atnikÛw op≥acajöcych sk≥adki z tytu≥u prowadzenia samoistnego dzia≥u specjalnego produkcji rolnej,;2 349,,2022-Q3;,;
Liczba p≥atnikÛw sk≥adek w KRUS,liczba p≥atnikÛw op≥acajöcych sk≥adki z tytu≥u prowadzenia samoistnego dzia≥u specjalnego produkcji rolnej,;2 314,,2022-Q4;,;
Liczba p≥atnikÛw sk≥adek w KRUS,liczba p≥atnikÛw op≥acajöcych sk≥adki z tytu≥u prowadzenia samoistnego dzia≥u specjalnego produkcji rolnej,;2 274,,2023-Q1,;;
Liczba p≥atnikÛw sk≥adek w KRUS,liczba p≥atnikÛw op≥acajöcych sk≥adki z tytu≥u prowadzenia samoistnego dzia≥u specjalnego produkcji rolnej,;2 264,,2023-Q2,;;
Liczba p≥atnikÛw sk≥adek w KRUS,liczba p≥atnikÛw op≥acajöcych sk≥adki z tytu≥u prowadzenia samoistnego dzia≥u specjalnego produkcji rolnej,;2 228,,2023-Q3,;;
Liczba p≥atnikÛw sk≥adek w KRUS,liczba p≥atnikÛw op≥acajöcych sk≥adki z tytu≥u prowadzenia samoistnego dzia≥u specjalnego produkcji rolnej,;2 209,,2023-Q4,;;
Liczba p≥atnikÛw sk≥adek w KRUS,liczba p≥atnikÛw op≥acajöcych sk≥adki z tytu≥u prowadzenia samoistnego dzia≥u specjalnego produkcji rolnej,;2 155;,,2024-Q1,;
Liczba p≥atnikÛw sk≥adek w KRUS,liczba p≥atnikÛw op≥acajöcych sk≥adki z tytu≥u prowadzenia samoistnego dzia≥u specjalnego produkcji rolnej,;2 122;,,2024-Q2,;
Liczba p≥atnikÛw sk≥adek w KRUS,liczba p≥atnikÛw op≥acajöcych sk≥adki z tytu≥u prowadzenia samoistnego dzia≥u specjalnego produkcji rolnej,;2 103,,2024-Q3;,;
Liczba p≥atnikÛw sk≥adek w KRUS,liczba p≥atnikÛw op≥acajöcych sk≥adki z tytu≥u prowadzenia samoistnego dzia≥u specjalnego produkcji rolnej,2 083,,2024-Q4,;;;
Liczba p≥atnikÛw sk≥adek w KRUS,liczba p≥atnikÛw op≥acajöcych sk≥adki z tytu≥u prowadzenia samoistnego dzia≥u specjalnego produkcji rolnej,2 047,,2025-Q1;,;;
Liczba p≥atnikÛw sk≥adek w KRUS,liczba p≥atnikÛw posiadajöcych dzia≥ specjalny produkcji rolnej oraz gospodarstwo rolne,8 484,,2020-Q1,;;;
Liczba p≥atnikÛw sk≥adek w KRUS,liczba p≥atnikÛw posiadajöcych dzia≥ specjalny produkcji rolnej oraz gospodarstwo rolne,;8 605,,2020-Q2,;;
Liczba p≥atnikÛw sk≥adek w KRUS,liczba p≥atnikÛw posiadajöcych dzia≥ specjalny produkcji rolnej oraz gospodarstwo rolne,;8 512,,2020-Q3,;;
