dataset,row_name,column_name,value
EMERYTURY I RENTY REALIZOWANE PRZEZ KRUS, renty rodzinne, przciętna miesięczna liczba świadczeniobiorców (świadczenia zabiegowe robotnicze), NaN
EMERYTURY I RENTY REALIZOWANE PRZEZ KRUS, ŚWIADCZENIA PIENIĘŻNE DLA CYWILNYCH NIEWIDOMYCH OFIAR DZIAŁAŃ WOJENNYCH, przciętna miesięczna liczba świadczeniobiorców (świadczenia zabiegowe robotnicze), NaN
EMERYTURY I RENTY REALIZOWANE PRZEZ KRUS, ŚWIADCZENIA PIENIĘŻNE DLA CYWILNYCH NIEWIDOMYCH OFIAR DZIAŁAŃ WOJENNYCH, przciętna miesięczna liczba świadczeniobiorców (świadczenia zabiegowe robotnicze), NaN
EMERYTURY I RENTY REALIZOWANE PRZEZ KRUS, ŚWIADCZENIA PIENIĘŻNE DLA CYWILNYCH NIEWIDOMYCH OFIAR DZIAŁAŃ WOJENNYCH, przciętna miesięczna liczba świadczeniobiorców (świadczenia zabiegowe robotnicze), NaN
EMERYTURY I RENTY REALIZOWANE PRZEZ KRUS, ogółem, kwota wpłaty w zł,5794717709.21
EMERYTURY I RENTY REALIZOWANE PRZEZ KRUS, ogółem, kwota wpłaty w zł,6206531231.02
EMERYTURY I RENTY REALIZOWANE PRZEZ KRUS, ogółem, kwota wpłaty w zł,6297893918.59
EMERYTURY I RENTY REALIZOWANE PRZEZ KRUS, emerytury, kwota wpłaty w zł,4574121843.95
EMERYTURY I RENTY REALIZOWANE PRZEZ KRUS, emerytury, kwota wpłaty w zł,4908479764.66
EMERYTURY I RENTY REALIZOWANE PRZEZ KRUS, emerytury, kwota wpłaty w zł,4982650839.4
EMERYTURY I RENTY REALIZOWANE PRZEZ KRUS, renty z tytułu niezdolności do pracy, kwota wpłaty w zł,920282653.12
EMERYTURY I RENTY REALIZOWANE PRZEZ KRUS, renty z tytułu niezdolności do pracy, kwota wpłaty w zł,976936866.75
EMERYTURY I RENTY REALIZOWANE PRZEZ KRUS, renty z tytułu niezdolności do pracy, kwota wpłaty w zł,989603617.72
EMERYTURY I RENTY REALIZOWANE PRZEZ KRUS, renty rodzinne, kwota wpłaty w zł,300293926.09
EMERYTURY I RENTY REALIZOWANE PRZEZ KRUS, renty rodzinne, kwota wpłaty w zł,321093815.76
EMERYTURY I RENTY REALIZOWANE PRZEZ KRUS, renty rodzinne, kwota wpłaty w zł,325618296.62
EMERYTURY I RENTY REALIZOWANE PRZEZ KRUS, ŚWIADCZENIA PIENIĘŻNE DLA CYWILNYCH NIEWIDOMYCH OFIAR DZIAŁAŃ WOJENNYCH, kwota wpłaty w zł,19286.05
EMERYTURY I RENTY REALIZOWANE PRZEZ KRUS, ŚWIADCZENIA PIENIĘŻNE DLA CYWILNYCH NIEWIDOMYCH OFIAR DZIAŁAŃ WOJENNYCH, kwota wpłaty w zł,20783.85
EMERYTURY I RENTY REALIZOWANE PRZEZ KRUS, ŚWIADCZENIA PIENIĘŻNE DLA CYWILNYCH NIEWIDOMYCH OFIAR DZIAŁAŃ WOJENNYCH, kwota wpłaty w zł,21164.85
EMERYTURY I RENTY REALIZOWANE PRZEZ KRUS, ogółem, kwota wpłaty w zł  (świadczenia zabiegowe robotnicze), 180316891.07
EMERYTURY I RENTY REALIZOWANE PRZEZ KRUS, ogółem, kwota wpłaty w zł  (świadczenia zabiegowe robotnicze), 172566874.24
EMERYTURY I RENTY REALIZOWANE PRZEZ KRUS, ogółem, kwota wpłaty w zł  (świadczenia zabiegowe robotnicze), 167659453.42
EMERYTURY I RENTY REALIZOWANE PRZEZ KRUS, emerytury, kwota wpłaty w zł  (świadczenia zabiegowe robotnicze), NaN
EMERYTURY I RENTY REALIZOWANE PRZEZ KRUS, emerytury, kwota wpłaty w zł  (świadczenia zabiegowe robotnicze), NaN
EMERYTURY I RENTY REALIZOWANE PRZEZ KRUS, emerytury, kwota wpłaty w zł  (świadczenia zabiegowe robotnicze), NaN
EMERYTURY I RENTY REALIZOWANE PRZEZ KRUS, renty z tytułu niezdolności do pracy, kwota wpłaty w zł  (świadczenia zabiegowe robotnicze), 69405551.42
EMERYTURY I RENTY REALIZOWANE PRZEZ KRUS, renty z tytułu niezdolności do pracy, kwota wpłaty w zł  (świadczenia zabiegowe robotnicze), 74152292.35
EMERYTURY I RENTY REALIZOWANE PRZEZ KRUS, renty z tytułu niezdolności do pracy, kwota wpłaty w zł  (świadczenia zabiegowe robotnicze), 74733521.98
EMERYTURY I RENTY REALIZOWANE PRZEZ KRUS, renty rodzinne, kwota wpłaty w zł  (świadczenia zabiegowe robotnicze), NaN
EMERYTURY I RENTY REALIZOWANE PRZEZ KRUS, renty rodzinne, kwota wpłaty w zł  (świadczenia zabiegowe robotnicze), NaN
EMERYTURY I RENTY REALIZOWANE PRZEZ KRUS, renty rodzinne, kwota wpłaty w zł  (świadczenia zabiegowe robotnicze), NaN
EMERYTURY I RENTY REALIZOWANE PRZEZ KRUS, ŚWIADCZENIA PIENIĘŻNE DLA CYWILNYCH NIEWIDOMYCH OFIAR DZIAŁAŃ WOJENNYCH, kwota wpłaty w zł  (świadczenia zabiegowe robotnicze), NaN
EMERYTURY I RENTY REALIZOWANE PRZEZ KRUS, ŚWIADCZENIA PIENIĘŻNE DLA CYWILNYCH NIEWIDOMYCH OFIAR DZIAŁAŃ WOJENNYCH, kwota wpłaty w zł  (świadczenia zabiegowe robotnicze), NaN
EMERYTURY I RENTY REALIZOWANE PRZEZ KRUS, ŚWIADCZENIA PIENIĘŻNE DLA CYWILNYCH NIEWIDOMYCH OFIAR DZIAŁAŃ WOJENNYCH, kwota wpłaty w zł  (świadczenia zabiegowe robotnicze), NaN
EMERYTURY I RENTY REALIZOWANE PRZEZ KRUS, ogółem, przeciętne świadczenie w zl, 1991.50
EMERYTURY I RENTY REALIZOWANE PRZEZ KRUS, ogółem, przeciętne świadczenie w zl, 2140.72
EMERYTURY I RENTY REALIZOWANE PRZEZ KRUS, ogółem, przeciętne świadczenie w zl, 2178.42
EMERYTURY I RENTY REALIZOWANE PRZEZ KRUS, emerytury, przeciętne świadczenie w zl, 1999.37
EMERYTURY I RENTY REALIZOWANE PRZEZ KRUS, emerytury, przeciętne świadczenie w zl, 2146.14
EMERYTURY I RENTY REALIZOWANE PRZEZ KRUS, emerytury, przeciętne świadczenie w zl, 2184.49
EMERYTURY I RENTY REALIZOWANE PRZEZ KRUS, renty z tytułu niezdolności do pracy, przeciętne świadczenie w zl, 1836.57
EMERYTURY I RENTY REALIZOWANE PRZEZ KRUS, renty z tytułu niezdolności do pracy, przeciętne świadczenie w zl, 1974.75
EMERYTURY I RENTY REALIZOWANE PRZEZ KRUS, renty z tytułu niezdolności do pracy, przeciętne świadczenie w zl, 2013.48
EMERYTURY I RENTY REALIZOWANE PRZEZ KRUS, renty rodzinne, przeciętne świadczenie w zl, 2484.83
EMERYTURY I RENTY REALIZOWANE PRZEZ KRUS, renty rodzinne, przeciętne świadczenie w zl, 2734.27
EMERYTURY I RENTY REALIZOWANE PRZEZ KRUS, renty rodzinne, przeciętne świadczenie w zl, 2744.96
EMERYTURY I RENTY REALIZOWANE PRZEZ KRUS, ŚWIADCZENIA PIENIĘŻNE DLA CYWILNYCH NIEWIDOMYCH OFIAR DZIAŁAŃ WOJENNYCH, przeciętne świadczenie w zl, NaN
EMERYTURY I RENTY REALIZOWANE PRZEZ KRUS, ŚWIADCZENIA PIENIĘŻNE DLA CYWILNYCH NIEWIDOMYCH OFIAR DZIAŁAŃ WOJENNYCH, przeciętne świadczenie w zl, NaN
EMERYTURY I RENTY REALIZOWANE PRZEZ KRUS, ŚWIADCZENIA PIENIĘŻNE DLA CYWILNYCH NIEWIDOMYCH OFIAR DZIAŁAŃ WOJENNYCH, przeciętne świadczenie w zl, NaN
Liczba płatników składek w KRUS,31 marca 2020 r., Liczba płatników opłacających składki /kont czynnych/, 878 925
Liczba płatników składek w KRUS,30 czerwca 2020 r., Liczba płatników opłacających składki /kont czynnych/,	876 967
Liczba płatników składek w KRUS,30 września 2020 r., Liczba płatników opłacających składki /kont czynnych/,	869 876
Liczba płatników składek w KRUS,31 grudnia 2020 r., Liczba płatników opłacających składki /kont czynnych/,	864 250
Liczba płatników składek w KRUS,31 marca 2021 r., Liczba płatników opłacających składki /kont czynnych/,	858 336	
Liczba płatników składek w KRUS,30 czerwca 2021 r.	, Liczba płatników opłacających składki /kont czynnych/,851 808	
Liczba płatników składek w KRUS,30 września 2021 r.	, Liczba płatników opłacających składki /kont czynnych/,845 499	
Liczba płatników składek w KRUS,31 grudnia 2021 r.	, Liczba płatników opłacających składki /kont czynnych/,839 040	
Liczba płatników składek w KRUS,31 marca 2022 r., Liczba płatników opłacających składki /kont czynnych/,	833 015
Liczba płatników składek w KRUS,30 czerwca 2022 r., Liczba płatników opłacających składki /kont czynnych/,	825 810
Liczba płatników składek w KRUS,30 września 2022 r.	, Liczba płatników opłacających składki /kont czynnych/,816 401
Liczba płatników składek w KRUS,31 grudnia 2022 r.	, Liczba płatników opłacających składki /kont czynnych/,809 501	
Liczba płatników składek w KRUS,31 marca 2023 r., Liczba płatników opłacających składki /kont czynnych/,	802 862
Liczba płatników składek w KRUS,30 czerwca 2023 r., Liczba płatników opłacających składki /kont czynnych/,	793 226
Liczba płatników składek w KRUS,30 września 2023 r., Liczba płatników opłacających składki /kont czynnych/,	785 421
Liczba płatników składek w KRUS,31 grudnia 2023 r., Liczba płatników opłacających składki /kont czynnych/,	776 658
Liczba płatników składek w KRUS,31 marca 2024 r., Liczba płatników opłacających składki /kont czynnych/,	768 487	
Liczba płatników składek w KRUS,30 czerwca 2024 r., Liczba płatników opłacających składki /kont czynnych/,	759 274
Liczba płatników składek w KRUS,30 września 2024 r.	, Liczba płatników opłacających składki /kont czynnych/,752 009	
Liczba płatników składek w KRUS,31 grudnia 2024 r., Liczba płatników opłacających składki /kont czynnych/,	745 395
Liczba płatników składek w KRUS,31 marca 2025 r.	, Liczba płatników opłacających składki /kont czynnych/,738 756
Liczba płatników składek w KRUS,31 marca 2020 r., liczba kont dotyczšca wójtów burmistrzów i prezydentów miasta opłacajšcych składki za osoby sprawujšce opiekę nad osobami niepełnosprawnymi,	2 461	
Liczba płatników składek w KRUS,30 czerwca 2020 r., liczba kont dotyczšca wójtów burmistrzów i prezydentów miasta opłacajšcych składki za osoby sprawujšce opiekę nad osobami niepełnosprawnymi,	2 503
Liczba płatników składek w KRUS,30 września 2020 r., liczba kont dotyczšca wójtów burmistrzów i prezydentów miasta opłacajšcych składki za osoby sprawujšce opiekę nad osobami niepełnosprawnymi,	2 541
Liczba płatników składek w KRUS,31 grudnia 2020 r., liczba kont dotyczšca wójtów burmistrzów i prezydentów miasta opłacajšcych składki za osoby sprawujšce opiekę nad osobami niepełnosprawnymi,	2 573
Liczba płatników składek w KRUS,31 marca 2021 r., liczba kont dotyczšca wójtów burmistrzów i prezydentów miasta opłacajšcych składki za osoby sprawujšce opiekę nad osobami niepełnosprawnymi,2 618	
Liczba płatników składek w KRUS,30 czerwca 2021 r.	, liczba kont dotyczšca wójtów burmistrzów i prezydentów miasta opłacajšcych składki za osoby sprawujšce opiekę nad osobami niepełnosprawnymi,2 677
Liczba płatników składek w KRUS,30 września 2021 r.	, liczba kont dotyczšca wójtów burmistrzów i prezydentów miasta opłacajšcych składki za osoby sprawujšce opiekę nad osobami niepełnosprawnymi,2 720
Liczba płatników składek w KRUS,31 grudnia 2021 r.	, liczba kont dotyczšca wójtów burmistrzów i prezydentów miasta opłacajšcych składki za osoby sprawujšce opiekę nad osobami niepełnosprawnymi,2 758
Liczba płatników składek w KRUS,31 marca 2022 r., liczba kont dotyczšca wójtów burmistrzów i prezydentów miasta opłacajšcych składki za osoby sprawujšce opiekę nad osobami niepełnosprawnymi,	2 814
Liczba płatników składek w KRUS,30 czerwca 2022 r., liczba kont dotyczšca wójtów burmistrzów i prezydentów miasta opłacajšcych składki za osoby sprawujšce opiekę nad osobami niepełnosprawnymi,	2 856
Liczba płatników składek w KRUS,30 września 2022 r.	, liczba kont dotyczšca wójtów burmistrzów i prezydentów miasta opłacajšcych składki za osoby sprawujšce opiekę nad osobami niepełnosprawnymi,	2 894
Liczba płatników składek w KRUS,31 grudnia 2022 r.	, liczba kont dotyczšca wójtów burmistrzów i prezydentów miasta opłacajšcych składki za osoby sprawujšce opiekę nad osobami niepełnosprawnymi,2 929
Liczba płatników składek w KRUS,31 marca 2023 r., liczba kont dotyczšca wójtów burmistrzów i prezydentów miasta opłacajšcych składki za osoby sprawujšce opiekę nad osobami niepełnosprawnymi,	2 974
Liczba płatników składek w KRUS,30 czerwca 2023 r., liczba kont dotyczšca wójtów burmistrzów i prezydentów miasta opłacajšcych składki za osoby sprawujšce opiekę nad osobami niepełnosprawnymi,	3 029
Liczba płatników składek w KRUS,30 września 2023 r., liczba kont dotyczšca wójtów burmistrzów i prezydentów miasta opłacajšcych składki za osoby sprawujšce opiekę nad osobami niepełnosprawnymi,	3 077
Liczba płatników składek w KRUS,31 grudnia 2023 r., liczba kont dotyczšca wójtów burmistrzów i prezydentów miasta opłacajšcych składki za osoby sprawujšce opiekę nad osobami niepełnosprawnymi,	3 128
Liczba płatników składek w KRUS,31 marca 2024 r., liczba kont dotyczšca wójtów burmistrzów i prezydentów miasta opłacajšcych składki za osoby sprawujšce opiekę nad osobami niepełnosprawnymi,3 161
Liczba płatników składek w KRUS,30 czerwca 2024 r., liczba kont dotyczšca wójtów burmistrzów i prezydentów miasta opłacajšcych składki za osoby sprawujšce opiekę nad osobami niepełnosprawnymi,	3 172
Liczba płatników składek w KRUS,30 września 2024 r.	, liczba kont dotyczšca wójtów burmistrzów i prezydentów miasta opłacajšcych składki za osoby sprawujšce opiekę nad osobami niepełnosprawnymi,3 179
Liczba płatników składek w KRUS,31 grudnia 2024 r., liczba kont dotyczšca wójtów burmistrzów i prezydentów miasta opłacajšcych składki za osoby sprawujšce opiekę nad osobami niepełnosprawnymi,	3 189	
Liczba płatników składek w KRUS,31 marca 2025 r.	, liczba kont dotyczšca wójtów burmistrzów i prezydentów miasta opłacajšcych składki za osoby sprawujšce opiekę nad osobami niepełnosprawnymi,	3 195	
Liczba płatników składek w KRUS,31 marca 2020 r., liczba płatników opłacajšcych składki z tytułu prowadzenia samoistnego działu specjalnego produkcji rolnej,2 661	
Liczba płatników składek w KRUS,30 czerwca 2020 r., liczba płatników opłacajšcych składki z tytułu prowadzenia samoistnego działu specjalnego produkcji rolnej,	2 632
Liczba płatników składek w KRUS,30 września 2020 r., liczba płatników opłacajšcych składki z tytułu prowadzenia samoistnego działu specjalnego produkcji rolnej,	2 606
Liczba płatników składek w KRUS,31 grudnia 2020 r., liczba płatników opłacajšcych składki z tytułu prowadzenia samoistnego działu specjalnego produkcji rolnej,	2 576
Liczba płatników składek w KRUS,31 marca 2021 r., liczba płatników opłacajšcych składki z tytułu prowadzenia samoistnego działu specjalnego produkcji rolnej,2 516
Liczba płatników składek w KRUS,30 czerwca 2021 r.	, liczba płatników opłacajšcych składki z tytułu prowadzenia samoistnego działu specjalnego produkcji rolnej,	2 481
Liczba płatników składek w KRUS,30 września 2021 r.	, liczba płatników opłacajšcych składki z tytułu prowadzenia samoistnego działu specjalnego produkcji rolnej,	2 458	8
Liczba płatników składek w KRUS,31 grudnia 2021 r.	, liczba płatników opłacajšcych składki z tytułu prowadzenia samoistnego działu specjalnego produkcji rolnej,	2 430
Liczba płatników składek w KRUS,31 marca 2022 r., liczba płatników opłacajšcych składki z tytułu prowadzenia samoistnego działu specjalnego produkcji rolnej,	2 383	
Liczba płatników składek w KRUS,30 czerwca 2022 r., liczba płatników opłacajšcych składki z tytułu prowadzenia samoistnego działu specjalnego produkcji rolnej,	2 366
Liczba płatników składek w KRUS,30 września 2022 r.	, liczba płatników opłacajšcych składki z tytułu prowadzenia samoistnego działu specjalnego produkcji rolnej,	2 349
Liczba płatników składek w KRUS,31 grudnia 2022 r.	, liczba płatników opłacajšcych składki z tytułu prowadzenia samoistnego działu specjalnego produkcji rolnej,	2 314
Liczba płatników składek w KRUS,31 marca 2023 r., liczba płatników opłacajšcych składki z tytułu prowadzenia samoistnego działu specjalnego produkcji rolnej,	2 274
Liczba płatników składek w KRUS,30 czerwca 2023 r., liczba płatników opłacajšcych składki z tytułu prowadzenia samoistnego działu specjalnego produkcji rolnej,	2 264
Liczba płatników składek w KRUS,30 września 2023 r., liczba płatników opłacajšcych składki z tytułu prowadzenia samoistnego działu specjalnego produkcji rolnej,	2 228
Liczba płatników składek w KRUS,31 grudnia 2023 r., liczba płatników opłacajšcych składki z tytułu prowadzenia samoistnego działu specjalnego produkcji rolnej,	2 209
Liczba płatników składek w KRUS,31 marca 2024 r., liczba płatników opłacajšcych składki z tytułu prowadzenia samoistnego działu specjalnego produkcji rolnej,	2 155	
Liczba płatników składek w KRUS,30 czerwca 2024 r., liczba płatników opłacajšcych składki z tytułu prowadzenia samoistnego działu specjalnego produkcji rolnej,	2 122	
Liczba płatników składek w KRUS,30 września 2024 r.	, liczba płatników opłacajšcych składki z tytułu prowadzenia samoistnego działu specjalnego produkcji rolnej,	2 103
Liczba płatników składek w KRUS,31 grudnia 2024 r., liczba płatników opłacajšcych składki z tytułu prowadzenia samoistnego działu specjalnego produkcji rolnej,2 083
Liczba płatników składek w KRUS,31 marca 2025 r.	, liczba płatników opłacajšcych składki z tytułu prowadzenia samoistnego działu specjalnego produkcji rolnej,2 047
Liczba płatników składek w KRUS,31 marca 2020 r., liczba płatników posiadajšcych dział specjalny produkcji rolnej oraz gospodarstwo rolne,8 484
Liczba płatników składek w KRUS,30 czerwca 2020 r., liczba płatników posiadajšcych dział specjalny produkcji rolnej oraz gospodarstwo rolne,	8 605
Liczba płatników składek w KRUS,30 września 2020 r., liczba płatników posiadajšcych dział specjalny produkcji rolnej oraz gospodarstwo rolne,	8 512
Liczba płatników składek w KRUS,31 grudnia 2020 r., liczba płatników posiadajšcych dział specjalny produkcji rolnej oraz gospodarstwo rolne,	7 974
Liczba płatników składek w KRUS,31 marca 2021 r., liczba płatników posiadajšcych dział specjalny produkcji rolnej oraz gospodarstwo rolne,	8 166
Liczba płatników składek w KRUS,30 czerwca 2021 r.	, liczba płatników posiadajšcych dział specjalny produkcji rolnej oraz gospodarstwo rolne,	8 310
Liczba płatników składek w KRUS,30 września 2021 r.	, liczba płatników posiadajšcych dział specjalny produkcji rolnej oraz gospodarstwo rolne, 210
Liczba płatników składek w KRUS,31 grudnia 2021 r.	, liczba płatników posiadajšcych dział specjalny produkcji rolnej oraz gospodarstwo rolne,	7 669
Liczba płatników składek w KRUS,31 marca 2022 r., liczba płatników posiadajšcych dział specjalny produkcji rolnej oraz gospodarstwo rolne,7 827
Liczba płatników składek w KRUS,30 czerwca 2022 r., liczba płatników posiadajšcych dział specjalny produkcji rolnej oraz gospodarstwo rolne,	7 998
Liczba płatników składek w KRUS,30 września 2022 r.	, liczba płatników posiadajšcych dział specjalny produkcji rolnej oraz gospodarstwo rolne,	7 769
Liczba płatników składek w KRUS,31 grudnia 2022 r.	, liczba płatników posiadajšcych dział specjalny produkcji rolnej oraz gospodarstwo rolne,	7 201
Liczba płatników składek w KRUS,31 marca 2023 r., liczba płatników posiadajšcych dział specjalny produkcji rolnej oraz gospodarstwo rolne,	7 329
Liczba płatników składek w KRUS,30 czerwca 2023 r., liczba płatników posiadajšcych dział specjalny produkcji rolnej oraz gospodarstwo rolne,	7 446
Liczba płatników składek w KRUS,30 września 2023 r., liczba płatników posiadajšcych dział specjalny produkcji rolnej oraz gospodarstwo rolne,	7 315
Liczba płatników składek w KRUS,31 grudnia 2023 r., liczba płatników posiadajšcych dział specjalny produkcji rolnej oraz gospodarstwo rolne,	6 785
Liczba płatników składek w KRUS,31 marca 2024 r., liczba płatników posiadajšcych dział specjalny produkcji rolnej oraz gospodarstwo rolne,6 986
Liczba płatników składek w KRUS,30 czerwca 2024 r., liczba płatników posiadajšcych dział specjalny produkcji rolnej oraz gospodarstwo rolne,7 049
Liczba płatników składek w KRUS,30 września 2024 r.	, liczba płatników posiadajšcych dział specjalny produkcji rolnej oraz gospodarstwo rolne,	6 933
Liczba płatników składek w KRUS,31 grudnia 2024 r., liczba płatników posiadajšcych dział specjalny produkcji rolnej oraz gospodarstwo rolne,	6 454
Liczba płatników składek w KRUS,31 marca 2025 r.	, liczba płatników posiadajšcych dział specjalny produkcji rolnej oraz gospodarstwo rolne,	6 687
Liczba_ubezpieczonych_według_statusu_I_kw_2025,31 marca 2020 r.,Liczba ubezpieczonych ogółem,1197586.0
Liczba_ubezpieczonych_według_statusu_I_kw_2025,30 czerwca 2020 r.,Liczba ubezpieczonych ogółem,1218747.0
Liczba_ubezpieczonych_według_statusu_I_kw_2025,30 września 2020 r.,Liczba ubezpieczonych ogółem,1194856.0
Liczba_ubezpieczonych_według_statusu_I_kw_2025,31 grudnia 2020 r.,Liczba ubezpieczonych ogółem,1173236.0
Liczba_ubezpieczonych_według_statusu_I_kw_2025,31 marca 2021 r.,Liczba ubezpieczonych ogółem,1167072.0
Liczba_ubezpieczonych_według_statusu_I_kw_2025,30 czerwca 2021 r.,Liczba ubezpieczonych ogółem,1173413.0
Liczba_ubezpieczonych_według_statusu_I_kw_2025,30 września 2021 r.,Liczba ubezpieczonych ogółem,1154379.0
Liczba_ubezpieczonych_według_statusu_I_kw_2025,31 grudnia 2021 r.,Liczba ubezpieczonych ogółem,1134603.0
Liczba_ubezpieczonych_według_statusu_I_kw_2025,31 marca 2022 r.,Liczba ubezpieczonych ogółem,1127508.0
Liczba_ubezpieczonych_według_statusu_I_kw_2025,30 czerwca 2022 r.,Liczba ubezpieczonych ogółem,1123333.0
